product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
28,SKU-000028,MAX KIT 28,Detailed description of product 28,3,5,6,402.01,257.29,11.8,true,2022-09-08,
29,SKU-000029,Premium Gear 29,Detailed description of product 29,2,2,,205.58,88.4,1.8,true,2022-06-21,2025-04-24
30,SKU-000030,Elite Item 30,Detailed description of product 30,10,6,,476.64,219.25,24.1,true,2022-07-19,2025-05-07
31,SKU-000031,"Elite Tool 31
",Detailed description of product 31,3,13,8,224.75,96.64,,true,2026-09-05,2025-11-17
32,SKU-000032,Super Tool 32,Detailed description of product 32,9,10,2,N/A,142.15,27.8,true,2022-03-02,2026-10-25
33,SKU-000033,Mega Item 33,Detailed description of product 33,100009,10,8,218.48,89.58,39.9,false,19-02-2023,2024-12-28
34,SKU-000034,Elite Gadget 34,,7,5,,275.98,143.51,30.8,,2023-03-03,2026-02-10
35,SKU-000035,Elite Tool 35,Detailed description of product 35,5,7,3,460.47,257.86,25.6,true,2022-07-14,2024-07-14
36,SKU-000036,max item 36,Detailed description of product 36,1,8,5,370.69,148.28,35.5,true,2023-06-24,2026-08-14
37,SKU-000037,Max Device 37,,7,12,2,426.49,208.98,39.6,true,2023-05-08,2025-11-29
38,SKU-000038,Premium Item 38,Detailed description of product 38,1,5,5,61.02,31.12,3.3,,2022-04-26,2025-03-22
39,SKU-000039,Mega Pack 39,Detailed description of product 39,4,4,5,14.99,8.99,,true,2023-02-27,2024-06-02
40,SKU-000040,Super Device 40,Detailed description of product 40,2,11,3,161.35,,41.6,false,2022-02-07,2026-02-27
41,SKU-000041,max device 41,Detailed description of product 41,8,12,4,268.87,139.81,49.8,true,2022-03-18,2024-06-06
42,SKU-000042,Max Kit 42,Detailed description of product 42,4,6,,399.2,179.64,30.3,,2022-11-28,2025-08-26
43,SKU-000043,Max Kit 43,Detailed description of product 43,4,4,4,,0,7.5,false,2022-11-02,2026-02-23
44,SKU-000044,Elite Gadget 44,Detailed description of product 44,7,2,3,415.15,195.12,44.3,true,,2024-03-19
45,SKU-000045,Pro Device 45,Detailed description of product 45,4,12,5,291.79,140.06,10.5,false,2022-07-24,2025-10-11
46,SKU-000046,Pro Widget 46,Detailed description of product 46,100005,12,2,251.7,125.85,,true,2022-04-10,2026-02-27
47,SKU-000047,Pro Product 47,Detailed description of product 47,8,15,,191.88,90.18,48.3,true,2023-11-24,2026-09-28
48,SKU-000048,Premium Tool 48,Detailed description of product 48,10,7,,,280.05,31.5,true,2023-06-20,2026-05-18
49,SKU-000049,Mega Tool 49,,8,3,3,,100.07,41.3,true,2023-06-01,2024-09-06
50,,Smart Widget 50,Detailed description of product 50,2,13,4,295.33,144.71,12,true,2022-01-21,
51,SKU-000051,Ultra Widget 51,Detailed description of product 51,8,12,3,151.57,93.97,31.7,,,
52,SKU-000052,Basic Gear 52,Detailed description of product 52,3,7,6,158.39,109.29,14.2,false,2023-10-31,2024-03-27
53,SKU-000053,Elite Tool 53,Detailed description of product 53,8,4,2,470.48,211.72,,true,2022-04-06,
54,SKU-000054,Mega Product 54,Detailed description of product 54,4,14,1,386.53,262.84,29.3,true,2022-05-28,2026-02-18
55,SKU-000055,Mega Gadget 55,Detailed description of product 55,100003,3,3,162.76,107.42,28.1,true,2023-11-26,2024-04-30
56,SKU-000056,Premium Widget 56,Detailed description of product 56,,9,5,254.12,132.14,41.2,true,2022-08-03,2025-05-01
57,SKU-000057,Mini Product 57,Detailed description of product 57,9,13,5,249.19,124.6,46.2,true,2022-08-26,2024-06-25
58,,  Ultra Item 58  ,Detailed description of product 58,10,2,7,,,20.9,true,2023-11-02,2025-10-04
59,SKU-000059,Mega Kit 59,Detailed description of product 59,,12,3,73.84,33.23,17.5,false,2023-01-06,2024-07-03
60,  SKU-000060  ,Basic Item 60,Detailed description of product 60,7,14,5,158.57,65.01,0.6,true,2022-08-04,2024-01-12
61,SKU-000061,Basic Item 61,"Detailed description of product 61
",9,12,3,79.84,49.5,41.5,true,08 Jun 2022,2025-03-27
62,SKU-000062,Pro Kit 62,Detailed description of product 62,6,5,5,170.9,,26.6,true,2022-05-07,2026-03-24
63,SKU-000063,,Detailed description of product 63,8,14,8,-422.48,215.46,26.3,true,2023-08-06,2024-03-29
64,SKU-000064,,Detailed description of product 64,1,3,100005,499.45,239.74,20.5,true,2023-03-29,2026-04-30
65,SKU-000065,Pro Gadget 65,Detailed description of product 65,9,14,1,24.15,12.08,32.8,,2022-07-29,2024-07-05
66,SKU-000066,Ultra Set 66,Detailed description of product 66,4,8,4,293.11,202.25,,true,2023-12-25,2026-02-08
67,SKU-000067,Super Set 67,Detailed description of product 67,,11,6,22.54,14.43,,true,2023-08-29,2024-09-03
68,SKU-000068,Smart Item 68,Detailed description of product 68,4,1,6,98.06,54.91,,,2022-05-06,2026-01-01
69,SKU-000069,Ultra Kit 69,Detailed description of product 69,3,7,2,195.2,130.78,23.8,true,,2024-10-28
70,SKU-000070,Smart Widget 70,Detailed description of product 70,2,6,5,452.51,294.13,1.7,,2022-01-30,2024-04-20
71,SKU-000071,Super Kit 71,Detailed description of product 71,4,8,3,455,304.85,48.9,true,"Jan 18, 2023",2025-01-22
72,SKU-000072,Mini Set 72,Detailed description of product 72,1,10,3,445.53,280.68,12.7,true,2023-10-30,2026-02-28
73,SKU-000073,Smart Gadget 73,Detailed description of product 73,2,4,8,158.94,108.08,26.6,true,2023-01-14,2024-03-23
74,SKU-000074,Mega Gadget 74,Detailed description of product 74,2,15,4,340.82,224.94,18.7,true,2023-09-12,2024-04-27
75,SKU-000075,Smart Set 75,Detailed description of product 75,1,10,3,412.81,235.3,41.8,true,25 Aug 2022,2024-08-15
76,SKU-000076,Basic Pack 76,Detailed description of product 76,5,8,3,14.77,8.27,34.3,true,2023-11-11,2025-10-06
77,SKU-000077,Mega Product 77,,1,4,8,375.81,154.08,12.2,true,2022-01-07,2024-01-25
78,SKU-000078,Mega Device 78,Detailed description of product 78,7,13,4,484.96,281.28,27.7,true,2023-08-12,
79,SKU-000079,,Detailed description of product 79,9,,7,484.71,,22.2,true,2022-07-02,2024-07-10
80,SKU-000080,Max Device 80,Detailed description of product 80,4,12,4,177.68,119.05,49,true,2026-05-29,2024-10-15
81,SKU-000081,Premium Tool 81,,9,,8,199.52,123.7,40.9,true,2022-07-29,2026-01-15
82,SKU-000082,Mega Gadget 82,Detailed description of product 82,,7,4,17.08,9.05,44,true,2022-04-12,2024-11-28
83,SKU-000083,,Detailed description of product 83,10,14,8,177.32,102.85,39.6,true,2022-05-21,2024-03-06
84,SKU-000084,Ultra Gadget 84,Detailed description of product 84,2,1,6,362.96,214.15,19.3,true,2022-07-12,2026-09-03
85,SKU-000085,Ultra Product 85,Detailed description of product 85,8,11,2,492.59,339.89,39.2,true,,2024-02-04
86,SKU-000086,Ultra Set 86,Detailed description of product 86,9,10,5,,73.6,17.1,true,2022-06-02,22 Jan 2024
87,SKU-000087,,Detailed description of product 87,2,2,6,311.01,186.61,16.7,true,2022-08-26,2026-03-15
88,SKU-000088,Elite Pack 88,Detailed description of product 88,5,,1,265.4,124.74,9,true,2023-12-10,2026-03-14
89,SKU-000089,,Detailed description of product 89,7,8,5,64.65,,29.1,true,2023-08-07,2025-12-18
90,SKU-000090,Super Kit 90,Detailed description of product 90,2,8,8,,170.23,16.2,true,2022-11-16,
91,SKU-000091,Smart Gear 91,Detailed description of product 91,9,9,6,129.46,90.62,24.5,true,2023-07-24,
92,,Mini Product 92,,3,5,1,326.9,166.72,48.8,true,2023-04-05,2026-03-11
93,SKU-000093,Smart Item 93,Detailed description of product 93,8,4,2,168.83,72.6,,true,,2024-01-14
94,SKU-000094,Ultra Item 94,Detailed description of product 94,9,7,3,281.92,163.51,24.6,true,,2025-02-26
95,SKU-000095,Elite Gadget 95,Detailed description of product 95,8,2,1,184.49,,40.9,false,2023-09-21,2024-11-19
96,SKU-000096,Max Tool 96,Detailed description of product 96,8,4,8,458.83,275.3,40.3,true,2023-11-01,2024-02-02
97,SKU-000097,Ultra Set 97,Detailed description of product 97,6,8,4,259.99,,5.5,true,2022-07-11,2024-05-18
98,SKU-000098,Mega Tool 98,Detailed description of product 98,1,6,1,85.79,,12.1,true,2022-10-13,2024-04-18
99,SKU-000099,Mini Product 99,Detailed description of product 99,10,10,2,48.46,22.78,20.3,true,2023-11-18,2025-02-26
100,SKU-000100,Mega Pack 100,Detailed description of product 100,1,7,8,291.9,163.46,21.3,true,2022-02-03,2026-03-30
22,SKU-000022,  Premium Widget 22  ,Detailed description of product 22,1,,,221.03,117.15,0.1,true,2023-09-06 00:40:17,2024-02-25
91,SKU-000091,Smart Gear 91,Detailed description of product 91,9,9,6,129.46,90.62,24.5,true,2023-07-24 00:25:37,
2,SKU-000002,Super Tool 2,Detailed description of product 2,4,6,,497.46,238.78,0,true,2022-12-15 00:55:19,2024-05-17
